date,value,elevation,station_id
2018-07-04,0.0,1478,GHCND:USS0021F22S
2018-07-04,0.0,1645,GHCND:USS0021G17S
2018-07-04,0.0,1609,GHCND:USS0022F18S
2018-07-04,0.0,987,GHCND:USS0022F45S
2018-07-04,0.0,1831,GHCND:USS0022G06S
2018-07-04,0.0,1737,GHCND:USS0022G33S
2018-07-03,0.0,1274,GHCND:USC00351574
2018-07-03,0.0,1976,GHCND:USC00351946
2018-07-03,0.0,481,GHCND:USC00355055
2018-07-03,0.0,1478,GHCND:USS0021F22S
2018-07-03,0.0,1645,GHCND:USS0021G17S
2018-07-03,0.0,1609,GHCND:USS0022F18S
2018-07-03,0.0,987,GHCND:USS0022F45S
2018-07-03,0.0,1831,GHCND:USS0022G06S
2018-07-03,0.0,1737,GHCND:USS0022G33S
2018-07-02,0.0,1450,GHCND:USC00351546
2018-07-02,0.0,1274,GHCND:USC00351574
2018-07-02,0.0,1976,GHCND:USC00351946
2018-07-02,0.0,481,GHCND:USC00355055
2018-07-02,0.0,756,GHCND:USC00356907
2018-07-02,0.0,1478,GHCND:USS0021F22S
2018-07-02,0.0,1645,GHCND:USS0021G17S
2018-07-02,0.0,1609,GHCND:USS0022F18S
2018-07-02,0.0,987,GHCND:USS0022F45S
2018-07-02,0.0,1831,GHCND:USS0022G06S
2018-07-02,0.0,1737,GHCND:USS0022G33S
2018-07-01,0.0,1450,GHCND:USC00351546
2018-07-01,0.0,1274,GHCND:USC00351574
2018-07-01,0.0,1976,GHCND:USC00351946
2018-07-01,0.0,481,GHCND:USC00355055
2018-07-01,0.0,756,GHCND:USC00356907
2018-07-01,0.0,1478,GHCND:USS0021F22S
2018-07-01,0.0,1645,GHCND:USS0021G17S
2018-07-01,0.0,1609,GHCND:USS0022F18S
2018-07-01,0.0,987,GHCND:USS0022F45S
2018-07-01,0.0,1831,GHCND:USS0022G06S
2018-07-01,0.0,1737,GHCND:USS0022G33S
2017-07-09,0.0,633,GHCND:US1ORJC0016
2017-07-09,0.0,1450,GHCND:USC00351546
2017-07-09,0.0,1274,GHCND:USC00351574
2017-07-09,0.0,1976,GHCND:USC00351946
2017-07-09,0.0,481,GHCND:USC00355055
2017-07-09,0.0,756,GHCND:USC00356907
2017-07-09,0.0,1478,GHCND:USS0021F22S
2017-07-09,0.0,1645,GHCND:USS0021G17S
2017-07-09,0.0,1609,GHCND:USS0022F18S
2017-07-09,0.0,987,GHCND:USS0022F45S
2017-07-09,0.0,1831,GHCND:USS0022G06S
2017-07-09,0.0,1737,GHCND:USS0022G33S
2017-07-08,0.0,633,GHCND:US1ORJC0016
2017-07-08,0.0,1737,GHCND:USS0022G33S
2017-07-08,0.0,1450,GHCND:USC00351546
2017-07-08,0.0,1274,GHCND:USC00351574
2017-07-08,0.0,1976,GHCND:USC00351946
2017-07-08,0.0,481,GHCND:USC00355055
2017-07-08,0.0,756,GHCND:USC00356907
2017-07-08,0.0,1478,GHCND:USS0021F22S
2017-07-08,0.0,1645,GHCND:USS0021G17S
2017-07-08,0.0,1609,GHCND:USS0022F18S
2017-07-08,0.0,987,GHCND:USS0022F45S
2017-07-08,0.0,1831,GHCND:USS0022G06S
2017-07-07,0.0,633,GHCND:US1ORJC0016
2017-07-07,0.0,1450,GHCND:USC00351546
2017-07-07,0.0,1274,GHCND:USC00351574
2017-07-07,0.0,1976,GHCND:USC00351946
2017-07-07,0.0,481,GHCND:USC00355055
2017-07-07,0.0,1478,GHCND:USS0021F22S
2017-07-07,0.0,1645,GHCND:USS0021G17S
2017-07-07,0.1,1609,GHCND:USS0022F18S
2017-07-07,0.0,987,GHCND:USS0022F45S
2017-07-07,0.0,1831,GHCND:USS0022G06S
2017-07-07,0.0,1737,GHCND:USS0022G33S
2017-07-06,0.0,633,GHCND:US1ORJC0016
2017-07-06,0.0,1450,GHCND:USC00351546
2017-07-06,0.0,1274,GHCND:USC00351574
2017-07-06,0.0,1976,GHCND:USC00351946
2017-07-06,0.0,481,GHCND:USC00355055
2017-07-06,0.0,756,GHCND:USC00356907
2017-07-06,0.0,1478,GHCND:USS0021F22S
2017-07-06,0.0,1645,GHCND:USS0021G17S
2017-07-06,0.0,1609,GHCND:USS0022F18S
2017-07-06,0.0,987,GHCND:USS0022F45S
2017-07-06,0.0,1831,GHCND:USS0022G06S
2017-07-06,0.0,1737,GHCND:USS0022G33S
2017-07-05,0.0,633,GHCND:US1ORJC0016
2017-07-05,0.0,1450,GHCND:USC00351546
2017-07-05,0.0,1274,GHCND:USC00351574
2017-07-05,0.0,1976,GHCND:USC00351946
2017-07-05,0.0,481,GHCND:USC00355055
2017-07-05,0.0,756,GHCND:USC00356907
2017-07-05,0.0,1478,GHCND:USS0021F22S
2017-07-05,0.0,1645,GHCND:USS0021G17S
2017-07-05,0.0,1609,GHCND:USS0022F18S
2017-07-05,0.0,987,GHCND:USS0022F45S
2017-07-05,0.0,1831,GHCND:USS0022G06S
2017-07-05,0.0,1737,GHCND:USS0022G33S
2017-07-04,0.0,633,GHCND:US1ORJC0016
2017-07-04,0.0,1450,GHCND:USC00351546
2017-07-04,0.0,1274,GHCND:USC00351574
2017-07-04,0.0,1976,GHCND:USC00351946
2017-07-04,0.0,481,GHCND:USC00355055
2017-07-04,0.0,756,GHCND:USC00356907
2017-07-04,0.0,1478,GHCND:USS0021F22S
2017-07-04,0.0,1645,GHCND:USS0021G17S
2017-07-04,0.0,1609,GHCND:USS0022F18S
2017-07-04,0.0,987,GHCND:USS0022F45S
2017-07-04,0.0,1831,GHCND:USS0022G06S
2017-07-04,0.0,1737,GHCND:USS0022G33S
2017-07-03,0.0,633,GHCND:US1ORJC0016
2017-07-03,0.0,1737,GHCND:USS0022G33S
2017-07-03,0.0,1450,GHCND:USC00351546
2017-07-03,0.0,1274,GHCND:USC00351574
2017-07-03,0.0,1976,GHCND:USC00351946
2017-07-03,0.0,481,GHCND:USC00355055
2017-07-03,0.0,756,GHCND:USC00356907
2017-07-03,0.0,1478,GHCND:USS0021F22S
2017-07-03,0.0,1645,GHCND:USS0021G17S
2017-07-03,0.0,1609,GHCND:USS0022F18S
2017-07-03,0.1,987,GHCND:USS0022F45S
2017-07-03,0.0,1831,GHCND:USS0022G06S
2017-07-02,0.0,633,GHCND:US1ORJC0016
2017-07-02,0.0,1450,GHCND:USC00351546
2017-07-02,0.0,1274,GHCND:USC00351574
2017-07-02,0.0,1976,GHCND:USC00351946
2017-07-02,0.0,481,GHCND:USC00355055
2017-07-02,0.0,756,GHCND:USC00356907
2017-07-02,0.0,1478,GHCND:USS0021F22S
2017-07-02,0.0,1645,GHCND:USS0021G17S
2017-07-02,0.0,1609,GHCND:USS0022F18S
2017-07-02,0.0,987,GHCND:USS0022F45S
2017-07-02,0.0,1831,GHCND:USS0022G06S
2017-07-02,0.0,1737,GHCND:USS0022G33S
2017-07-01,0.0,633,GHCND:US1ORJC0016
2017-07-01,0.0,1737,GHCND:USS0022G33S
2017-07-01,0.0,1450,GHCND:USC00351546
2017-07-01,0.0,1274,GHCND:USC00351574
2017-07-01,0.0,1976,GHCND:USC00351946
2017-07-01,0.0,481,GHCND:USC00355055
2017-07-01,0.0,756,GHCND:USC00356907
2017-07-01,0.0,1478,GHCND:USS0021F22S
2017-07-01,0.0,1645,GHCND:USS0021G17S
2017-07-01,0.0,1609,GHCND:USS0022F18S
2017-07-01,0.0,987,GHCND:USS0022F45S
2017-07-01,0.0,1831,GHCND:USS0022G06S
2016-07-09,0.2,1737,GHCND:USS0022G33S
2016-07-09,0.59,633,GHCND:US1ORJC0016
2016-07-09,0.0,1450,GHCND:USC00351546
2016-07-09,0.02,1274,GHCND:USC00351574
2016-07-09,0.68,1976,GHCND:USC00351946
2016-07-09,0.49,481,GHCND:USC00355055
2016-07-09,0.58,756,GHCND:USC00356907
2016-07-09,0.0,1478,GHCND:USS0021F22S
2016-07-09,0.1,1645,GHCND:USS0021G17S
2016-07-09,0.1,1609,GHCND:USS0022F18S
2016-07-09,0.1,987,GHCND:USS0022F45S
2016-07-09,0.3,1831,GHCND:USS0022G06S
2016-07-08,0.11,633,GHCND:US1ORJC0016
2016-07-08,0.05,1450,GHCND:USC00351546
2016-07-08,0.1,1274,GHCND:USC00351574
2016-07-08,0.02,1976,GHCND:USC00351946
2016-07-08,0.04,481,GHCND:USC00355055
2016-07-08,0.1,1478,GHCND:USS0021F22S
2016-07-08,0.3,1645,GHCND:USS0021G17S
2016-07-08,0.3,1609,GHCND:USS0022F18S
2016-07-08,0.5,987,GHCND:USS0022F45S
2016-07-08,0.3,1831,GHCND:USS0022G06S
2016-07-08,0.6,1737,GHCND:USS0022G33S
2016-07-07,0.0,633,GHCND:US1ORJC0016
2016-07-07,0.05,1450,GHCND:USC00351546
2016-07-07,0.0,1274,GHCND:USC00351574
2016-07-07,0.0,1976,GHCND:USC00351946
2016-07-07,0.0,481,GHCND:USC00355055
2016-07-07,0.0,1478,GHCND:USS0021F22S
2016-07-07,0.0,1645,GHCND:USS0021G17S
2016-07-07,0.0,1609,GHCND:USS0022F18S
2016-07-07,0.0,987,GHCND:USS0022F45S
2016-07-07,0.0,1831,GHCND:USS0022G06S
2016-07-07,0.0,1737,GHCND:USS0022G33S
2016-07-06,0.0,633,GHCND:US1ORJC0016
2016-07-06,0.0,1450,GHCND:USC00351546
2016-07-06,0.0,1274,GHCND:USC00351574
2016-07-06,0.0,1976,GHCND:USC00351946
2016-07-06,0.0,481,GHCND:USC00355055
2016-07-06,0.0,756,GHCND:USC00356907
2016-07-06,0.0,1478,GHCND:USS0021F22S
2016-07-06,0.0,1645,GHCND:USS0021G17S
2016-07-06,0.0,1609,GHCND:USS0022F18S
2016-07-06,0.0,987,GHCND:USS0022F45S
2016-07-06,0.0,1831,GHCND:USS0022G06S
2016-07-06,0.0,1737,GHCND:USS0022G33S
2016-07-05,0.0,1737,GHCND:USS0022G33S
2016-07-05,0.0,633,GHCND:US1ORJC0016
2016-07-05,0.0,1450,GHCND:USC00351546
2016-07-05,0.0,1274,GHCND:USC00351574
2016-07-05,0.0,1976,GHCND:USC00351946
2016-07-05,0.0,481,GHCND:USC00355055
2016-07-05,0.0,756,GHCND:USC00356907
2016-07-05,0.0,1478,GHCND:USS0021F22S
2016-07-05,0.0,1645,GHCND:USS0021G17S
2016-07-05,0.0,1609,GHCND:USS0022F18S
2016-07-05,0.0,987,GHCND:USS0022F45S
2016-07-05,0.0,1831,GHCND:USS0022G06S
2016-07-04,0.0,1737,GHCND:USS0022G33S
2016-07-04,0.0,633,GHCND:US1ORJC0016
2016-07-04,0.0,1450,GHCND:USC00351546
2016-07-04,0.0,1274,GHCND:USC00351574
2016-07-04,0.0,1976,GHCND:USC00351946
2016-07-04,0.0,481,GHCND:USC00355055
2016-07-04,0.0,756,GHCND:USC00356907
2016-07-04,0.0,1478,GHCND:USS0021F22S
2016-07-04,0.0,1645,GHCND:USS0021G17S
2016-07-04,0.0,1609,GHCND:USS0022F18S
2016-07-04,0.0,987,GHCND:USS0022F45S
2016-07-04,0.0,1831,GHCND:USS0022G06S
2016-07-03,0.0,1737,GHCND:USS0022G33S
2016-07-03,0.0,633,GHCND:US1ORJC0016
2016-07-03,0.0,1450,GHCND:USC00351546
2016-07-03,0.0,1274,GHCND:USC00351574
2016-07-03,0.0,1976,GHCND:USC00351946
2016-07-03,0.0,481,GHCND:USC00355055
2016-07-03,0.0,756,GHCND:USC00356907
2016-07-03,0.0,1478,GHCND:USS0021F22S
2016-07-03,0.0,1645,GHCND:USS0021G17S
2016-07-03,0.0,1609,GHCND:USS0022F18S
2016-07-03,0.0,987,GHCND:USS0022F45S
2016-07-03,0.0,1831,GHCND:USS0022G06S
2016-07-02,0.0,1737,GHCND:USS0022G33S
2016-07-02,0.0,633,GHCND:US1ORJC0016
2016-07-02,0.0,1450,GHCND:USC00351546
2016-07-02,0.0,1274,GHCND:USC00351574
2016-07-02,0.0,1976,GHCND:USC00351946
2016-07-02,0.0,481,GHCND:USC00355055
2016-07-02,0.0,756,GHCND:USC00356907
2016-07-02,0.0,1478,GHCND:USS0021F22S
2016-07-02,0.0,1645,GHCND:USS0021G17S
2016-07-02,0.0,1609,GHCND:USS0022F18S
2016-07-02,0.0,987,GHCND:USS0022F45S
2016-07-02,0.0,1831,GHCND:USS0022G06S
2016-07-01,0.0,1737,GHCND:USS0022G33S
2016-07-01,0.0,633,GHCND:US1ORJC0016
2016-07-01,0.0,1450,GHCND:USC00351546
2016-07-01,0.0,1274,GHCND:USC00351574
2016-07-01,0.0,1976,GHCND:USC00351946
2016-07-01,0.0,481,GHCND:USC00355055
2016-07-01,0.0,756,GHCND:USC00356907
2016-07-01,0.0,1478,GHCND:USS0021F22S
2016-07-01,0.0,1645,GHCND:USS0021G17S
2016-07-01,0.0,1609,GHCND:USS0022F18S
2016-07-01,0.0,987,GHCND:USS0022F45S
2016-07-01,0.0,1831,GHCND:USS0022G06S
2015-07-09,0.02,633,GHCND:US1ORJC0016
2015-07-09,0.0,1450,GHCND:USC00351546
2015-07-09,0.0,1274,GHCND:USC00351574
2015-07-09,0.0,1274,GHCND:USC00351574
2015-07-09,0.0,1976,GHCND:USC00351946
2015-07-09,0.0,481,GHCND:USC00355055
2015-07-09,0.0,756,GHCND:USC00356907
2015-07-09,0.1,1478,GHCND:USS0021F22S
2015-07-09,0.0,1645,GHCND:USS0021G17S
2015-07-09,0.0,1609,GHCND:USS0022F18S
2015-07-09,0.3,987,GHCND:USS0022F45S
2015-07-09,0.2,1831,GHCND:USS0022G06S
2015-07-09,0.0,1737,GHCND:USS0022G33S
2015-07-08,0.0,633,GHCND:US1ORJC0016
2015-07-08,1.72,1450,GHCND:USC00351546
2015-07-08,0.0,1274,GHCND:USC00351574
2015-07-08,0.03,1976,GHCND:USC00351946
2015-07-08,0.0,481,GHCND:USC00355055
2015-07-08,0.12,756,GHCND:USC00356907
2015-07-08,0.0,1478,GHCND:USS0021F22S
2015-07-08,0.0,1645,GHCND:USS0021G17S
2015-07-08,0.1,1609,GHCND:USS0022F18S
2015-07-08,0.0,987,GHCND:USS0022F45S
2015-07-08,0.0,1831,GHCND:USS0022G06S
2015-07-08,0.0,1737,GHCND:USS0022G33S
2015-07-07,0.0,633,GHCND:US1ORJC0016
2015-07-07,0.0,1450,GHCND:USC00351546
2015-07-07,0.0,1274,GHCND:USC00351574
2015-07-07,0.0,1976,GHCND:USC00351946
2015-07-07,0.0,481,GHCND:USC00355055
2015-07-07,2.1,1478,GHCND:USS0021F22S
2015-07-07,0.0,1645,GHCND:USS0021G17S
2015-07-07,0.0,1609,GHCND:USS0022F18S
2015-07-07,0.0,987,GHCND:USS0022F45S
2015-07-07,0.0,1831,GHCND:USS0022G06S
2015-07-07,0.0,1737,GHCND:USS0022G33S
2015-07-06,0.0,633,GHCND:US1ORJC0016
2015-07-06,0.0,1450,GHCND:USC00351546
2015-07-06,0.05,1274,GHCND:USC00351574
2015-07-06,0.0,1976,GHCND:USC00351946
2015-07-06,0.0,481,GHCND:USC00355055
2015-07-06,0.0,1478,GHCND:USS0021F22S
2015-07-06,0.0,1645,GHCND:USS0021G17S
2015-07-06,0.0,1609,GHCND:USS0022F18S
2015-07-06,0.0,987,GHCND:USS0022F45S
2015-07-06,0.0,1831,GHCND:USS0022G06S
2015-07-06,0.0,1737,GHCND:USS0022G33S
2015-07-05,0.0,1737,GHCND:USS0022G33S
2015-07-05,0.0,633,GHCND:US1ORJC0016
2015-07-05,0.0,1450,GHCND:USC00351546
2015-07-05,0.0,1274,GHCND:USC00351574
2015-07-05,0.0,1976,GHCND:USC00351946
2015-07-05,0.0,481,GHCND:USC00355055
2015-07-05,0.0,756,GHCND:USC00356907
2015-07-05,0.0,1478,GHCND:USS0021F22S
2015-07-05,0.0,1645,GHCND:USS0021G17S
2015-07-05,0.0,1609,GHCND:USS0022F18S
2015-07-05,0.0,987,GHCND:USS0022F45S
2015-07-05,0.0,1831,GHCND:USS0022G06S
2015-07-04,0.0,1737,GHCND:USS0022G33S
2015-07-04,0.0,633,GHCND:US1ORJC0016
2015-07-04,0.0,1450,GHCND:USC00351546
2015-07-04,0.0,1274,GHCND:USC00351574
2015-07-04,0.0,1976,GHCND:USC00351946
2015-07-04,0.0,481,GHCND:USC00355055
2015-07-04,0.0,756,GHCND:USC00356907
2015-07-04,0.0,1478,GHCND:USS0021F22S
2015-07-04,0.0,1645,GHCND:USS0021G17S
2015-07-04,0.0,1609,GHCND:USS0022F18S
2015-07-04,0.0,987,GHCND:USS0022F45S
2015-07-04,0.0,1831,GHCND:USS0022G06S
2015-07-03,0.0,633,GHCND:US1ORJC0016
2015-07-03,0.0,1450,GHCND:USC00351546
2015-07-03,0.0,1274,GHCND:USC00351574
2015-07-03,0.0,1976,GHCND:USC00351946
2015-07-03,0.0,481,GHCND:USC00355055
2015-07-03,0.0,756,GHCND:USC00356907
2015-07-03,0.0,1478,GHCND:USS0021F22S
2015-07-03,0.0,1645,GHCND:USS0021G17S
2015-07-03,0.0,1609,GHCND:USS0022F18S
2015-07-03,0.0,987,GHCND:USS0022F45S
2015-07-03,0.0,1831,GHCND:USS0022G06S
2015-07-03,0.0,1737,GHCND:USS0022G33S
2015-07-02,0.0,633,GHCND:US1ORJC0016
2015-07-02,0.0,1450,GHCND:USC00351546
2015-07-02,0.0,1274,GHCND:USC00351574
2015-07-02,0.0,1976,GHCND:USC00351946
2015-07-02,0.0,481,GHCND:USC00355055
2015-07-02,0.0,756,GHCND:USC00356907
2015-07-02,0.0,1478,GHCND:USS0021F22S
2015-07-02,0.0,1645,GHCND:USS0021G17S
2015-07-02,0.0,1609,GHCND:USS0022F18S
2015-07-02,0.0,987,GHCND:USS0022F45S
2015-07-02,0.0,1831,GHCND:USS0022G06S
2015-07-02,0.0,1737,GHCND:USS0022G33S
2015-07-01,0.0,633,GHCND:US1ORJC0016
2015-07-01,0.0,1450,GHCND:USC00351546
2015-07-01,0.0,1274,GHCND:USC00351574
2015-07-01,0.0,1976,GHCND:USC00351946
2015-07-01,0.0,481,GHCND:USC00355055
2015-07-01,0.0,756,GHCND:USC00356907
2015-07-01,0.0,1478,GHCND:USS0021F22S
2015-07-01,0.0,1645,GHCND:USS0021G17S
2015-07-01,0.0,1609,GHCND:USS0022F18S
2015-07-01,0.0,987,GHCND:USS0022F45S
2015-07-01,0.0,1831,GHCND:USS0022G06S
2015-07-01,0.0,1737,GHCND:USS0022G33S
2014-07-09,0.0,1737,GHCND:USS0022G33S
2014-07-09,0.0,633,GHCND:US1ORJC0016
2014-07-09,0.0,1450,GHCND:USC00351546
2014-07-09,0.0,1450,GHCND:USC00351546
2014-07-09,0.0,1274,GHCND:USC00351574
2014-07-09,0.0,1976,GHCND:USC00351946
2014-07-09,0.0,481,GHCND:USC00355055
2014-07-09,0.0,756,GHCND:USC00356907
2014-07-09,0.0,1478,GHCND:USS0021F22S
2014-07-09,0.0,1645,GHCND:USS0021G17S
2014-07-09,0.0,1609,GHCND:USS0022F18S
2014-07-09,0.0,987,GHCND:USS0022F45S
2014-07-09,0.0,1831,GHCND:USS0022G06S
2014-07-08,0.0,1737,GHCND:USS0022G33S
2014-07-08,0.0,633,GHCND:US1ORJC0016
2014-07-08,0.0,1450,GHCND:USC00351546
2014-07-08,0.0,1274,GHCND:USC00351574
2014-07-08,0.0,1976,GHCND:USC00351946
2014-07-08,0.0,481,GHCND:USC00355055
2014-07-08,0.0,756,GHCND:USC00356907
2014-07-08,0.0,1478,GHCND:USS0021F22S
2014-07-08,0.0,1645,GHCND:USS0021G17S
2014-07-08,0.0,1609,GHCND:USS0022F18S
2014-07-08,0.0,987,GHCND:USS0022F45S
2014-07-08,0.0,1831,GHCND:USS0022G06S
2014-07-07,0.0,1737,GHCND:USS0022G33S
2014-07-07,0.0,633,GHCND:US1ORJC0016
2014-07-07,0.0,1450,GHCND:USC00351546
2014-07-07,0.0,1274,GHCND:USC00351574
2014-07-07,0.0,1976,GHCND:USC00351946
2014-07-07,0.0,481,GHCND:USC00355055
2014-07-07,0.0,756,GHCND:USC00356907
2014-07-07,0.0,1478,GHCND:USS0021F22S
2014-07-07,0.0,1645,GHCND:USS0021G17S
2014-07-07,0.0,1609,GHCND:USS0022F18S
2014-07-07,0.0,987,GHCND:USS0022F45S
2014-07-07,0.0,1831,GHCND:USS0022G06S
2014-07-06,0.0,1737,GHCND:USS0022G33S
2014-07-06,0.0,633,GHCND:US1ORJC0016
2014-07-06,0.0,1450,GHCND:USC00351546
2014-07-06,0.0,1274,GHCND:USC00351574
2014-07-06,0.0,1976,GHCND:USC00351946
2014-07-06,0.0,481,GHCND:USC00355055
2014-07-06,0.0,756,GHCND:USC00356907
2014-07-06,0.0,1478,GHCND:USS0021F22S
2014-07-06,0.0,1645,GHCND:USS0021G17S
2014-07-06,0.0,1609,GHCND:USS0022F18S
2014-07-06,0.0,987,GHCND:USS0022F45S
2014-07-06,0.0,1831,GHCND:USS0022G06S
2014-07-05,0.0,633,GHCND:US1ORJC0016
2014-07-05,0.0,1450,GHCND:USC00351546
2014-07-05,0.0,1274,GHCND:USC00351574
2014-07-05,0.0,1976,GHCND:USC00351946
2014-07-05,0.0,481,GHCND:USC00355055
2014-07-05,0.0,756,GHCND:USC00356907
2014-07-05,0.0,1478,GHCND:USS0021F22S
2014-07-05,0.0,1645,GHCND:USS0021G17S
2014-07-05,0.0,1609,GHCND:USS0022F18S
2014-07-05,0.0,987,GHCND:USS0022F45S
2014-07-05,0.0,1831,GHCND:USS0022G06S
2014-07-05,0.0,1737,GHCND:USS0022G33S
2014-07-04,0.0,1737,GHCND:USS0022G33S
2014-07-04,0.0,633,GHCND:US1ORJC0016
2014-07-04,0.0,1450,GHCND:USC00351546
2014-07-04,0.0,1274,GHCND:USC00351574
2014-07-04,0.0,1976,GHCND:USC00351946
2014-07-04,0.0,481,GHCND:USC00355055
2014-07-04,0.0,756,GHCND:USC00356907
2014-07-04,0.0,1478,GHCND:USS0021F22S
2014-07-04,0.0,1645,GHCND:USS0021G17S
2014-07-04,0.0,1609,GHCND:USS0022F18S
2014-07-04,0.0,987,GHCND:USS0022F45S
2014-07-04,0.0,1831,GHCND:USS0022G06S
2014-07-03,0.0,1737,GHCND:USS0022G33S
2014-07-03,0.0,633,GHCND:US1ORJC0016
2014-07-03,0.1,1450,GHCND:USC00351546
2014-07-03,0.0,1274,GHCND:USC00351574
2014-07-03,0.0,1976,GHCND:USC00351946
2014-07-03,0.0,481,GHCND:USC00355055
2014-07-03,0.0,756,GHCND:USC00356907
2014-07-03,0.0,1478,GHCND:USS0021F22S
2014-07-03,0.0,1645,GHCND:USS0021G17S
2014-07-03,0.0,1609,GHCND:USS0022F18S
2014-07-03,0.0,987,GHCND:USS0022F45S
2014-07-03,0.0,1831,GHCND:USS0022G06S
2014-07-02,0.0,1737,GHCND:USS0022G33S
2014-07-02,0.0,633,GHCND:US1ORJC0016
2014-07-02,0.07,1450,GHCND:USC00351546
2014-07-02,0.0,1274,GHCND:USC00351574
2014-07-02,0.0,1976,GHCND:USC00351946
2014-07-02,0.0,481,GHCND:USC00355055
2014-07-02,0.0,756,GHCND:USC00356907
2014-07-02,0.1,1478,GHCND:USS0021F22S
2014-07-02,0.0,1645,GHCND:USS0021G17S
2014-07-02,0.0,1609,GHCND:USS0022F18S
2014-07-02,0.0,987,GHCND:USS0022F45S
2014-07-02,0.0,1831,GHCND:USS0022G06S
2014-07-01,0.0,1737,GHCND:USS0022G33S
2014-07-01,0.0,633,GHCND:US1ORJC0016
2014-07-01,0.0,1450,GHCND:USC00351546
2014-07-01,0.0,1274,GHCND:USC00351574
2014-07-01,0.0,1976,GHCND:USC00351946
2014-07-01,0.0,481,GHCND:USC00355055
2014-07-01,0.0,756,GHCND:USC00356907
2014-07-01,0.0,1478,GHCND:USS0021F22S
2014-07-01,0.0,1645,GHCND:USS0021G17S
2014-07-01,0.0,1609,GHCND:USS0022F18S
2014-07-01,0.0,987,GHCND:USS0022F45S
2014-07-01,0.0,1831,GHCND:USS0022G06S
2013-07-09,0.0,1737,GHCND:USS0022G33S
2013-07-09,0.0,633,GHCND:US1ORJC0016
2013-07-09,0.0,1450,GHCND:USC00351546
2013-07-09,0.0,1274,GHCND:USC00351574
2013-07-09,0.0,1976,GHCND:USC00351946
2013-07-09,0.0,481,GHCND:USC00355055
2013-07-09,0.0,756,GHCND:USC00356907
2013-07-09,0.0,1478,GHCND:USS0021F22S
2013-07-09,0.0,1645,GHCND:USS0021G17S
2013-07-09,0.0,1609,GHCND:USS0022F18S
2013-07-09,0.0,987,GHCND:USS0022F45S
2013-07-09,0.0,1831,GHCND:USS0022G06S
2013-07-08,0.0,1737,GHCND:USS0022G33S
2013-07-08,0.0,633,GHCND:US1ORJC0016
2013-07-08,0.0,1450,GHCND:USC00351546
